slot,tick,x,y,z,pitch,yaw,roll
0,76,-6374.583984375,-2016.6787109375,577.5337524414062,49.4659423828125,-179.79124450683594,0
0,78,-6404.46875,-2017.05712890625,594.717041015625,49.4659423828125,-179.79124450683594,0
0,80,-6434.353515625,-2017.435546875,611.2337036132812,49.4659423828125,-179.79124450683594,0
0,82,-6464.23828125,-2017.81396484375,627.0836791992188,49.4659423828125,-179.79124450683594,0
0,84,-6494.123046875,-2018.1923828125,642.2669677734375,49.4659423828125,-179.79124450683594,0
0,86,-6524.0078125,-2018.57080078125,656.7836303710938,49.4659423828125,-179.79124450683594,0
0,88,-6553.892578125,-2018.94921875,670.6336059570312,49.4659423828125,-179.79124450683594,0
0,90,-6583.77734375,-2019.32763671875,683.81689453125,49.4659423828125,-179.79124450683594,0
0,92,-6613.662109375,-2019.7060546875,696.3335571289062,49.4659423828125,-179.79124450683594,0
0,94,-6643.546875,-2020.08447265625,708.1835327148438,49.4659423828125,-179.79124450683594,0
0,96,-6673.431640625,-2020.462890625,719.3668212890625,49.4659423828125,-179.79124450683594,0
0,98,-6703.31640625,-2020.84130859375,729.8834838867188,49.4659423828125,-179.79124450683594,0
0,100,-6733.201171875,-2021.2197265625,739.7334594726562,49.4659423828125,-179.79124450683594,0
0,102,-6763.0859375,-2021.59814453125,748.916748046875,49.4659423828125,-179.79124450683594,0
0,104,-6792.970703125,-2021.9765625,757.4334106445312,49.4659423828125,-179.79124450683594,0
0,106,-6822.85546875,-2022.35498046875,765.2833862304688,49.4659423828125,-179.79124450683594,0
0,108,-6852.740234375,-2022.7333984375,772.4666748046875,49.4659423828125,-179.79124450683594,0
0,110,-6882.625,-2023.11181640625,778.9833374023438,49.4659423828125,-179.79124450683594,0
0,112,-6912.509765625,-2023.490234375,784.8333129882812,49.4659423828125,-179.79124450683594,0
0,114,-6942.39453125,-2023.86865234375,790.0166015625,49.4659423828125,-179.79124450683594,0
0,116,-6972.279296875,-2024.2470703125,794.5332641601562,49.4659423828125,-179.79124450683594,0
0,118,-7002.1640625,-2024.62548828125,798.3832397460938,49.4659423828125,-179.79124450683594,0
0,120,-7032.048828125,-2025.00390625,801.5665283203125,49.4659423828125,-179.79124450683594,0
0,122,-7061.93359375,-2025.38232421875,804.0831909179688,49.4659423828125,-179.79124450683594,0
0,124,-7091.818359375,-2025.7607421875,805.9331665039062,49.4659423828125,-179.79124450683594,0
0,126,-7121.703125,-2026.13916015625,807.116455078125,49.4659423828125,-179.79124450683594,0
0,128,-7151.587890625,-2026.517578125,807.6331176757812,49.4659423828125,-179.79124450683594,0
0,130,-7181.47265625,-2026.89599609375,807.4830932617188,49.4659423828125,-179.79124450683594,0
0,132,-7211.357421875,-2027.2744140625,806.6663818359375,49.4659423828125,-179.79124450683594,0
0,134,-7241.2421875,-2027.65283203125,805.1830444335938,49.4659423828125,-179.79124450683594,0
0,136,-7271.126953125,-2028.03125,803.0330200195312,49.4659423828125,-179.79124450683594,0
0,138,-7301.01171875,-2028.40966796875,800.21630859375,49.4659423828125,-179.79124450683594,0
0,140,-7330.896484375,-2028.7880859375,796.7329711914062,49.4659423828125,-179.79124450683594,0
0,142,-7330.896484375,-2028.7880859375,796.2332763671875,49.4659423828125,-179.79124450683594,0
0,144,-7358.55859375,-2029.1826171875,807.2166748046875,49.4659423828125,-179.79124450683594,0
0,146,-7386.220703125,-2029.5771484375,817.5333862304688,49.4659423828125,-179.79124450683594,0
0,148,-7413.8828125,-2029.9716796875,827.1834716796875,49.4659423828125,-179.79124450683594,0
0,150,-7441.544921875,-2030.3662109375,836.1668701171875,49.4659423828125,-179.79124450683594,0
0,152,-7469.20703125,-2030.7607421875,844.4835815429688,49.4659423828125,-179.79124450683594,0
0,154,-7496.869140625,-2031.1552734375,852.1336669921875,49.4659423828125,-179.79124450683594,0
0,156,-7524.53125,-2031.5498046875,859.1170654296875,49.57591247558594,-179.79124450683594,0
0,158,-7552.193359375,-2031.9443359375,865.4337768554688,51.00582504272461,-179.79124450683594,0
0,160,-7579.85546875,-2032.3388671875,871.0838623046875,52.32569885253906,-179.79124450683594,0
0,162,-7607.517578125,-2032.7333984375,876.0672607421875,53.53556823730469,-179.79124450683594,0
0,164,-7635.1796875,-2033.1279296875,880.3839721679688,54.635467529296875,-179.79124450683594,0
0,166,-7662.841796875,-2033.5224609375,884.0340576171875,55.73539352416992,-179.79124450683594,0
0,168,-7690.50390625,-2033.9169921875,887.0174560546875,56.61528015136719,-179.79124450683594,0
0,170,-7718.166015625,-2034.3115234375,889.3341674804688,57.0551872253418,-179.79124450683594,0
0,172,-7745.828125,-2034.7060546875,890.9842529296875,57.275146484375,-179.79124450683594,0
0,174,-7773.490234375,-2035.1005859375,891.9676513671875,57.275146484375,-179.79124450683594,0
0,176,-7801.15234375,-2035.4951171875,892.2843627929688,57.275146484375,-179.79124450683594,0
0,178,-7828.814453125,-2035.8896484375,891.9344482421875,57.275146484375,-179.79124450683594,0
0,180,-7856.4765625,-2036.2841796875,890.9178466796875,57.275146484375,-179.79124450683594,0
0,182,-7884.138671875,-2036.6787109375,889.2345581054688,57.275146484375,-179.79124450683594,0
0,184,-7911.80078125,-2037.0732421875,886.8846435546875,57.275146484375,-179.79124450683594,0
0,186,-7939.462890625,-2037.4677734375,883.8680419921875,57.275146484375,-179.79124450683594,0
0,188,-7967.125,-2037.8623046875,880.1847534179688,57.275146484375,-179.79124450683594,0
